step,reward,R_track,R_dir,avg_comfort,power,T0,T1,T2,T3,H0,H1,H2,H3,TSV0,TSV1,TSV2,TSV3
1,0.09819446592914707,0.6677923975935951,0.5,91.0,,24.863395979413028,24.80813511001523,26.188307693267785,24.885406831742383,49.48174368059609,46.04333404886789,47.12718276071278,50.47261760038805,2.0,2.0,2.0,2.0
2,-0.6288252373946794,0.36505199159775203,-0.75,83.95,,23.805369579400608,24.704333836585846,24.308595119300165,23.84896092181056,53.494878397281866,49.373558348104616,52.333078180538564,54.57227507675173,-2.0,-2.0,-2.0,-2.0
3,-4.283904411764706,0.0,0.5,70.125,,22.53185454174067,23.716204480012014,23.240226931731087,22.826879755512593,56.98812522422609,53.55805659809818,55.229157199935294,56.47007717880531,2.0,2.0,2.0,2.0
4,-8.967264705882352,0.0,-1.0,55.275000000000006,,21.746368918262597,22.66406135248267,22.350300809171564,21.758657298990933,59.78489788933895,57.394250507533584,58.11517686047198,61.1544688657967,-2.0,-2.0,-2.0,-2.0
5,-13.686205882352942,0.0,-1.0,39.775000000000006,,20.91630762440226,21.8864491436773,21.256353672354372,20.781601452811177,64.39620846324779,60.59945766144193,62.40636384756428,66.63975313023407,2.0,2.0,2.0,2.0
6,-6.202841176470588,0.0,-1.0,59.199999999999996,,20.158645718549838,21.0166302961466,20.450378268243657,20.09945946785588,67.38156369792362,63.31643078850026,63.194004294446984,65.65171083506587,-2.0,-2.0,-2.0,-2.0
7,-9.840088235294118,0.0,-1.0,65.775,,19.37719245361409,20.22976052184819,19.823973598294156,19.359359943691963,65.95295947096217,63.30850261423727,65.4553895846177,66.91326555412309,2.0,2.0,2.0,2.0
8,-6.554029411764706,0.0,-1.0,75.82499999999999,,18.655064116072865,19.468257681462944,19.0556296550338,18.653988549740014,65.58131075414012,62.97907907033638,64.53638795124076,66.40473563215943,-2.0,-2.0,-2.0,-2.0
9,-7.891588235294119,0.0,-0.5,73.35,,18.075422637353427,18.813160787905876,18.391448172317766,18.044913496146073,65.43531299494667,65.0186036873907,65.60694466625212,66.00268311726762,2.0,2.0,2.0,2.0
10,-8.562588235294117,0.0,-1.0,71.1,,17.529969995747404,18.257112211057752,17.969947781127786,17.337773475633856,64.8371775410529,63.46132052658862,64.75089824108002,65.95099071597636,-2.0,-2.0,-2.0,-2.0
